kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
16,1,1,1,48,16,1,[16; 1; 1; 1; 48; 16; 1],0.024394354622927494,0.28352414639935064,tvm
24,24,1,1,192,96,6,[24; 24; 1; 1; 192; 96; 6],0.011954016124946065,0.5785828376954592,tvm
8,4,1,1,384,64,4,[8; 4; 1; 1; 384; 64; 4],0.013847237001755275,0.4994778792730889,tvm
16,2,1,1,128,128,8,[16; 2; 1; 1; 128; 128; 8],0.012750970126944594,0.542420576832289,tvm
12,2,197,1,32,16,1,[12; 2; 197; 1; 32; 16; 1],0.02210934436880052,0.3128264889296579,tvm
2,1,197,1,384,16,1,[2; 1; 197; 1; 384; 16; 1],0.04350939823780209,0.1589630942176404,tvm
48,6,197,1,384,128,8,[48; 6; 197; 1; 384; 128; 8],0.021086207503685728,0.32800533572571705,tvm
16,2,1,1,16,16,1,[16; 2; 1; 1; 16; 16; 1],0.023637699501705356,0.29259990258060364,tvm
16,4,197,1,96,96,6,[16; 4; 197; 1; 96; 96; 6],0.014739387755980715,0.46924530963792227,tvm
24,1,197,1,384,16,1,[24; 1; 197; 1; 384; 16; 1],0.023375404125545174,0.2958831656677193,tvm
16,16,197,1,768,32,2,[16; 16; 197; 1; 768; 32; 2],0.0156704797554994,0.44136418790888216,tvm
8,2,1,1,384,48,3,[8; 2; 1; 1; 384; 48; 3],0.014417632002732717,0.47971737453956653,tvm
4,4,1,1,384,128,8,[4; 4; 1; 1; 384; 128; 8],0.019884667373844422,0.3478252083072881,tvm
1,1,197,1,96,48,3,[1; 1; 197; 1; 96; 48; 3],0.056024073041044176,0.12345386895311072,tvm
24,3,197,1,768,128,8,[24; 3; 197; 1; 768; 128; 8],0.011031153684598394,0.6269868745537628,tvm
6,1,1,1,768,32,2,[6; 1; 1; 1; 768; 32; 2],0.015523857495281845,0.44553285634905265,tvm
16,2,1,1,768,96,6,[16; 2; 1; 1; 768; 96; 6],0.023848974509746768,0.2900077975512923,tvm
12,4,197,1,96,96,6,[12; 4; 197; 1; 96; 96; 6],0.014934647260815836,0.4631102730879463,tvm
12,6,1,1,48,48,3,[12; 6; 1; 1; 48; 48; 3],0.013959026502561755,0.49547785944523265,tvm
24,24,1,1,768,48,3,[24; 24; 1; 1; 768; 48; 3],0.023634607874555513,0.2926381773769388,tvm
16,1,197,1,256,16,1,[16; 1; 197; 1; 256; 16; 1],0.021056522760773078,0.3284677460759737,tvm
16,1,197,1,64,64,4,[16; 1; 197; 1; 64; 64; 4],0.015477243505301885,0.4468747014970264,tvm
12,3,1,1,384,192,12,[12; 3; 1; 1; 384; 192; 12],0.012670605239691213,0.5458609467022687,tvm
4,2,197,1,128,64,4,[4; 2; 197; 1; 128; 64; 4],0.015156472625676543,0.45633233683354096,tvm
24,3,1,1,128,128,8,[24; 3; 1; 1; 128; 128; 8],0.011579114994674455,0.5973158203031581,tvm
24,2,197,1,128,16,1,[24; 2; 197; 1; 128; 16; 1],0.022404764749808237,0.3087016823726198,tvm
16,16,197,1,384,32,2,[16; 16; 197; 1; 384; 32; 2],0.015236442122841254,0.4539372456946543,tvm
24,24,197,1,384,96,6,[24; 24; 197; 1; 384; 96; 6],0.015966810125974007,0.43317284522456595,tvm
24,3,197,1,128,128,8,[24; 3; 197; 1; 128; 128; 8],0.011655822563625406,0.5933848541082553,tvm
12,1,1,1,768,128,8,[12; 1; 1; 1; 768; 128; 8],0.02044849836966023,0.33823454643938694,tvm
3,1,1,1,768,96,6,[3; 1; 1; 1; 768; 96; 6],0.019556449871743098,0.3536627873048669,tvm
16,4,1,1,192,48,3,[16; 4; 1; 1; 192; 48; 3],0.014752877497812733,0.46881624093021834,tvm
24,8,197,1,128,128,8,[24; 8; 197; 1; 128; 128; 8],0.011466273499536328,0.6031941041444943,tvm
16,16,197,1,128,16,1,[16; 16; 197; 1; 128; 16; 1],0.02175301236275118,0.3179508408348935,tvm
4,1,197,1,384,64,4,[4; 1; 197; 1; 384; 64; 4],0.0155205633782316,0.4456274171805623,tvm
6,6,197,1,256,16,1,[6; 6; 197; 1; 256; 16; 1],0.02741124073509127,0.2523194275760879,tvm
24,3,197,1,768,64,4,[24; 3; 197; 1; 768; 64; 4],0.01369520886510145,0.5050224965208909,tvm
12,3,197,1,128,32,2,[12; 3; 197; 1; 128; 32; 2],0.015427353631821461,0.4483198308984361,tvm
48,16,197,1,256,128,8,[48; 16; 197; 1; 256; 128; 8],0.021051393749075942,0.3285477747397209,tvm
1,1,197,1,384,192,12,[1; 1; 197; 1; 384; 192; 12],0.049771692749345675,0.13896229341164004,tvm
8,8,197,1,128,64,4,[8; 8; 197; 1; 128; 64; 4],0.013391947883064859,0.5164587431059878,tvm
3,3,197,1,48,16,1,[3; 3; 197; 1; 48; 16; 1],0.03217671500169672,0.21495011442479012,tvm
4,1,1,1,768,128,8,[4; 1; 1; 1; 768; 128; 8],0.015682147874031216,0.44103579605200216,tvm
